dataset,split,model,metric,mean,standard_deviation,valid_runs,seeds,mean_parameter_count,mean_trainable_parameter_count,result_scope
bace,random,full_gtpro,roc_auc,0.6296189319080202,0.03162562397070177,3,42 52 62,568778,8321,project-measured compact empirical reproduction
bace,random,graph_only,roc_auc,0.7229202848761734,0.026017008268366372,3,42 52 62,13,13,project-measured compact empirical reproduction
bace,random,graph_smiles_no_alignment,roc_auc,0.8776477053696171,0.024458516597383902,3,42 52 62,2061,2061,project-measured compact empirical reproduction
bace,random,morgan_logistic_or_ridge,roc_auc,0.9026629140508825,0.021906944794451506,3,42 52 62,1025,1025,project-measured compact empirical reproduction
bace,random,morgan_random_forest,roc_auc,0.8851573293051681,0.02153838030966218,3,42 52 62,28951,28951,project-measured compact empirical reproduction
bace,random,smiles_only,roc_auc,0.8693509999932859,0.02230027012812367,3,42 52 62,2049,2049,project-measured compact empirical reproduction
bace,scaffold,full_gtpro,roc_auc,0.46998709310964015,0.0906750698014062,3,42 52 62,568778,8321,project-measured compact empirical reproduction
bace,scaffold,graph_only,roc_auc,0.6774554542673901,0.006436636533125688,3,42 52 62,13,13,project-measured compact empirical reproduction
bace,scaffold,graph_smiles_no_alignment,roc_auc,0.8127893774145979,0.020214650474011473,3,42 52 62,2061,2061,project-measured compact empirical reproduction
bace,scaffold,morgan_logistic_or_ridge,roc_auc,0.8668074168296563,0.02575908668749283,3,42 52 62,1025,1025,project-measured compact empirical reproduction
bace,scaffold,morgan_random_forest,roc_auc,0.8550303314671076,0.008787328515504038,3,42 52 62,28591,28591,project-measured compact empirical reproduction
bace,scaffold,smiles_only,roc_auc,0.817639615007472,0.0302282112847905,3,42 52 62,2049,2049,project-measured compact empirical reproduction
lipophilicity,random,full_gtpro,rmse,1.141625122690434,0.01094994148861613,3,42 52 62,568778,8321,project-measured compact empirical reproduction
lipophilicity,random,graph_only,rmse,1.0219357253090688,0.0037387922429315632,3,42 52 62,13,13,project-measured compact empirical reproduction
lipophilicity,random,graph_smiles_no_alignment,rmse,0.7581752861789223,0.020490087987972458,3,42 52 62,2061,2061,project-measured compact empirical reproduction
lipophilicity,random,morgan_logistic_or_ridge,rmse,0.9366668285030494,0.058207674598640645,3,42 52 62,1025,1025,project-measured compact empirical reproduction
lipophilicity,random,morgan_random_forest,rmse,0.8397366180581275,0.016783439408566813,3,42 52 62,203645,203645,project-measured compact empirical reproduction
lipophilicity,random,smiles_only,rmse,0.8301440249565086,0.01592256935798415,3,42 52 62,2049,2049,project-measured compact empirical reproduction
lipophilicity,scaffold,full_gtpro,rmse,1.0976340072815842,0.0441160395357903,3,42 52 62,568778,8321,project-measured compact empirical reproduction
lipophilicity,scaffold,graph_only,rmse,0.9814221416673332,0.0189989567016546,3,42 52 62,13,13,project-measured compact empirical reproduction
lipophilicity,scaffold,graph_smiles_no_alignment,rmse,0.8216184244858975,0.032563048786542745,3,42 52 62,2061,2061,project-measured compact empirical reproduction
lipophilicity,scaffold,morgan_logistic_or_ridge,rmse,1.0013668382321443,0.08182941963283673,3,42 52 62,1025,1025,project-measured compact empirical reproduction
lipophilicity,scaffold,morgan_random_forest,rmse,0.8845089359809563,0.023656168310432164,3,42 52 62,202694,202694,project-measured compact empirical reproduction
lipophilicity,scaffold,smiles_only,rmse,0.8914863667347103,0.055932698257414204,3,42 52 62,2049,2049,project-measured compact empirical reproduction
tox21,random,full_gtpro,macro_roc_auc,0.6905558676308416,0.018188334336704123,3,42 52 62,569493,9036,project-measured compact empirical reproduction
tox21,random,graph_only,macro_roc_auc,0.7645278808550541,0.015817615993046995,3,42 52 62,156,156,project-measured compact empirical reproduction
tox21,random,graph_smiles_no_alignment,macro_roc_auc,0.8185116509755249,0.004048896034489754,3,42 52 62,24732,24732,project-measured compact empirical reproduction
tox21,random,morgan_logistic_or_ridge,macro_roc_auc,0.769397902697272,0.015329794319292284,3,42 52 62,12300,12300,project-measured compact empirical reproduction
tox21,random,morgan_random_forest,macro_roc_auc,0.8090828434581994,0.016394691799950605,3,42 52 62,730277,730277,project-measured compact empirical reproduction
tox21,random,smiles_only,macro_roc_auc,0.805371079033566,0.005201988713443883,3,42 52 62,24588,24588,project-measured compact empirical reproduction
tox21,scaffold,full_gtpro,macro_roc_auc,0.6706994724877955,0.03817334982285368,3,42 52 62,569493,9036,project-measured compact empirical reproduction
tox21,scaffold,graph_only,macro_roc_auc,0.784027036562072,0.01530421566487145,3,42 52 62,156,156,project-measured compact empirical reproduction
tox21,scaffold,graph_smiles_no_alignment,macro_roc_auc,0.8180926761617272,0.012408457506794758,3,42 52 62,24732,24732,project-measured compact empirical reproduction
tox21,scaffold,morgan_logistic_or_ridge,macro_roc_auc,0.756831077094816,0.005188501062159218,3,42 52 62,12300,12300,project-measured compact empirical reproduction
tox21,scaffold,morgan_random_forest,macro_roc_auc,0.7995534565313437,0.009036959977969198,3,42 52 62,645331,645331,project-measured compact empirical reproduction
tox21,scaffold,smiles_only,macro_roc_auc,0.8034702593862298,0.01451357024172492,3,42 52 62,24588,24588,project-measured compact empirical reproduction
